"Date","S_level_ft","N_level_ft","S_level_m","N_level_m","S_area_m2","N_area_m2","S_vol_m3","N_vol_m3","Total_vol_m3","natlev_m","natlev_ft"
"1857-10-01",4202.61724137931,4202.61724137931,1280.95773517241,1280.95773517241,3138246392.25584,1651288277.26335,14395242134.5457,8296702080.91578,22691944215.4615,1280.95773517241,4202.6172413793
"1857-11-01",4202.12166064982,4202.12166064982,1280.80668216607,1280.80668216607,3081456128.00959,1628436615.74135,13925395181.0306,8049182976.18762,21974578157.2183,1280.80668216607,4202.12166064984
"1857-12-01",4202.22996389892,4202.22996389892,1280.83969299639,1280.83969299639,3093817501.57797,1633889589.05689,14027644188.4177,8103107599.65249,22130751788.0702,1280.83969299639,4202.22996389892
"1858-01-01",4202.34187725632,4202.34187725632,1280.87380418773,1280.87380418773,3106590920.93538,1639524328.15112,14133301496.0793,8158829710.58108,22292131206.6604,1280.87380418773,4202.34187725633
"1858-02-01",4202.45379061372,4202.45379061372,1280.90791537906,1280.90791537906,3119364340.28904,1645159067.2437,14238958803.7099,8214551821.49331,22453510625.2032,1280.90791537906,4202.45379061371
"1858-03-01",4202.55487364621,4202.55487364621,1280.93872548736,1280.93872548736,3131007550.86517,1649265441.58284,14335313061.5657,8265240674.60839,22600553736.1741,1280.93872548736,4202.55487364619
"1858-04-01",4202.66678700361,4202.66678700361,1280.9728366787,1280.9728366787,3143997008.77095,1652895240.53881,14442850459.9965,8321695373.75581,22764545833.7523,1280.9728366787,4202.66678700361
"1858-05-01",4202.77509025271,4202.77509025271,1281.00584750903,1281.00584750903,3156567451.90585,1656407949.20596,14546918910.0931,8376328953.57711,22923247863.6702,1281.00584750903,4202.77509025272
"1858-06-01",4202.88700361011,4202.88700361011,1281.03995870036,1281.03995870036,3169556909.80782,1660037748.16087,14654456308.4923,8432783652.70797,23087239961.2003,1281.03995870036,4202.88700361011
"1858-07-01",4202.99530685921,4202.99530685921,1281.07296953069,1281.07296953069,3182127352.94272,1663550456.82801,14758524758.5889,8487417232.52928,23245941991.1182,1281.07296953069,4202.99530685922
"1858-08-01",4203.0619047619,4203.0619047619,1281.09326857143,1281.09326857143,3189728648.41973,1668052113.35364,14823626767.9506,8521447136.45469,23345073904.4053,1281.09326857143,4203.06190476191
"1858-09-01",4202.47142857143,4202.47142857143,1280.91329142857,1280.91329142857,3121377478.27045,1646047122.89806,14255610784.9152,8223333831.60164,22478944616.5168,1280.91329142857,4202.47142857142
"1858-10-01",4201.9,4201.9,1280.73912,1280.73912,3052133902.13585,1618404972.848,13718134964.1558,7939442568.94312,21657577533.0989,1280.73912,4201.9
"1858-11-01",4201.30952380952,4201.30952380952,1280.55914285714,1280.55914285714,2941294010.34979,1593527640.7148,13177558157.1537,7650451710.34681,20828009867.5005,1280.55914285714,4201.30952380951
"1858-12-01",4201.16045454545,4201.16045454545,1280.51370654545,1280.51370654545,2902871781.53812,1586286283.17517,13043750937.1643,7578192572.42165,20621943509.5859,1280.51370654545,4201.16045454544
"1859-01-01",4201.25909090909,4201.25909090909,1280.54377090909,1280.54377090909,2928295056.79722,1591077754.97869,13132288689.6752,7626005102.05029,20758293791.7255,1280.54377090909,4201.25909090909
"1859-02-01",4201.35772727273,4201.35772727273,1280.57383527273,1280.57383527273,2953718332.0565,1595869226.78225,13220826442.1868,7673817631.67929,20894644073.8661,1280.57383527273,4201.35772727274
"1859-03-01",4201.44681818182,4201.44681818182,1280.60099018182,1280.60099018182,2976681290.35146,1600197007.7654,13300796025.0873,7717003142.30487,21017799167.3922,1280.60099018182,4201.44681818182
"1859-04-01",4201.54545454545,4201.54545454545,1280.63105454545,1280.63105454545,2997405262.7798,1604555944.50018,13390533196.5762,7765130011.85657,21155663208.4328,1280.63105454545,4201.54545454544
"1859-05-01",4201.64090909091,4201.64090909091,1280.66014909091,1280.66014909091,3012139896.45468,1608284529.0559,13478733672.4756,7812060315.69425,21290793988.1698,1280.66014909091,4201.64090909091
"1859-06-01",4201.73954545455,4201.73954545455,1280.69021345455,1280.69021345455,3027365684.5845,1612137399.76324,13569874164.2329,7860554962.99035,21430429127.2233,1280.69021345455,4201.73954545456
"1859-07-01",4201.64579439252,4201.64579439252,1280.66163813084,1280.66163813084,3012894005.43109,1608475355.59049,13483247715.5164,7814462178.14773,21297709893.6641,1280.66163813084,4201.64579439252
"1859-08-01",4201.21121495327,4201.21121495327,1280.52917831776,1280.52917831776,2915955149.30506,1588752078.28267,13089314381.1169,7602797935.13059,20692112316.2474,1280.52917831776,4201.21121495328
"1859-09-01",4200.77663551402,4200.77663551402,1280.39671850467,1280.39671850467,2826069066.90049,1574232432.87952,12708471159.7197,7393286212.46963,20101757372.1893,1280.39671850467,4200.77663551401
"1859-10-01",4200.35607476636,4200.35607476636,1280.26853158878,1280.26853158878,2749375770.14872,1565156320.20402,12351016629.2117,7191982030.4979,19542998659.7096,1280.26853158878,4200.35607476634
