,time,value,days
564,2000-05-10,36.0189696,564
565,2000-05-11,45.6466816,565
566,2000-05-12,49.4694496,566
567,2000-05-13,37.4064928,567
568,2000-05-14,33.1872896,568
569,2000-05-15,31.176796799999998,569
570,2000-05-16,35.2827328,570
571,2000-05-17,28.0902656,571
572,2000-05-18,40.068272,572
573,2000-05-19,32.847488,573
574,2000-05-20,29.3362048,574
575,2000-05-21,29.1946208,575
576,2000-05-22,19.680176,576
577,2000-05-23,20.7562144,577
578,2000-05-24,31.006896,578
579,2000-05-25,18.122752,579
580,2000-05-26,38.1993632,580
581,2000-05-27,39.8134208,581
582,2000-05-28,43.2114368,582
583,2000-05-29,33.3571904,583
584,2000-05-30,30.6387776,584
585,2000-05-31,31.9413504,585
586,2000-06-01,30.3272928,586
587,2000-06-02,32.8191712,587
588,2000-06-03,33.470457599999996,588
589,2000-06-04,24.748883199999998,589
590,2000-06-05,20.388096,590
591,2000-06-06,14.9795872,591
592,2000-06-07,13.0540448,592
593,2000-06-08,11.9496896,593
594,2000-06-09,11.7797888,594
595,2000-06-10,11.6948384,595
596,2000-06-11,11.4966208,596
597,2000-06-12,10.9586016,597
598,2000-06-13,10.2506816,598
599,2000-06-14,8.8065248,599
600,2000-06-15,9.4294944,600
601,2000-06-16,8.6083072,601
602,2000-06-17,9.061376,602
603,2000-06-18,9.8542464,603
604,2000-06-19,10.0807808,604
605,2000-06-20,9.5993952,605
606,2000-06-21,9.7409792,606
607,2000-06-22,9.486127999999999,607
608,2000-06-23,9.9958304,608
609,2000-06-24,9.6843456,609
610,2000-06-25,9.2312768,610
611,2000-06-26,8.919792,611
612,2000-06-27,8.8348416,612
613,2000-06-28,9.5427616,613
614,2000-06-29,10.7320672,614
615,2000-06-30,11.7797888,615
616,2000-07-01,11.8081056,616
617,2000-07-02,12.0629568,617
618,2000-07-03,11.751472,618
619,2000-07-04,10.901968,619
620,2000-07-05,11.1568192,620
621,2000-07-06,10.9586016,621
622,2000-07-07,10.3639488,622
623,2000-07-08,9.7126624,623
624,2000-07-09,10.4488992,624
625,2000-07-10,10.3073152,625
626,2000-07-11,12.232857599999999,626
627,2000-07-12,11.1285024,627
628,2000-07-13,9.7126624,628
629,2000-07-14,8.8348416,629
630,2000-07-15,9.1180096,630
631,2000-07-16,9.4578112,631
632,2000-07-17,9.7409792,632
633,2000-07-18,9.9675136,633
634,2000-07-19,9.3728608,634
635,2000-07-20,8.9764256,635
636,2000-07-21,9.2879104,636
637,2000-07-22,9.20296,637
638,2000-07-23,9.1180096,638
639,2000-07-24,9.0896928,639
640,2000-07-25,9.20296,640
641,2000-07-26,9.6560288,641
642,2000-07-27,9.9675136,642
643,2000-07-28,10.278998399999999,643
644,2000-07-29,10.278998399999999,644
645,2000-07-30,10.1090976,645
646,2000-07-31,9.7409792,646
647,2000-08-01,9.5993952,647
648,2000-08-02,9.6843456,648
649,2000-08-03,9.4578112,649
650,2000-08-04,9.769296,650
651,2000-08-05,10.3922656,651
652,2000-08-06,10.278998399999999,652
653,2000-08-07,10.3922656,653
654,2000-08-08,9.486127999999999,654
655,2000-08-09,8.693257599999999,655
656,2000-08-10,8.7215744,656
657,2000-08-11,8.9481088,657
658,2000-08-12,9.0896928,658
659,2000-08-13,8.8631584,659
660,2000-08-14,8.8348416,660
661,2000-08-15,9.0330592,661
662,2000-08-16,9.1180096,662
663,2000-08-17,9.0896928,663
664,2000-08-18,10.0807808,664
665,2000-08-19,10.6471168,665
666,2000-08-20,10.278998399999999,666
667,2000-08-21,10.3639488,667
668,2000-08-22,10.1090976,668
669,2000-08-23,9.4011776,669
670,2000-08-24,9.9958304,670
671,2000-08-25,9.769296,671
672,2000-08-26,10.5338496,672
673,2000-08-27,10.901968,673
674,2000-08-28,11.2134528,674
675,2000-08-29,10.9586016,675
676,2000-08-30,13.6486976,676
677,2000-08-31,35.3393664,677
678,2000-09-01,56.576966399999996,678
679,2000-09-02,52.0179616,679
680,2000-09-03,37.1799584,680
681,2000-09-04,37.9728288,681
682,2000-09-05,34.263328,682
683,2000-09-06,28.0053152,683
684,2000-09-07,26.617791999999998,684
685,2000-09-08,29.4777888,685
686,2000-09-09,25.5983872,686
687,2000-09-10,21.1243328,687
688,2000-09-11,16.2538432,688
689,2000-09-12,27.2407616,689
690,2000-09-13,22.1154208,690
691,2000-09-14,16.7635456,691
692,2000-09-15,14.4982016,692
693,2000-09-16,17.6696832,693
694,2000-09-17,15.1211712,694
695,2000-09-18,25.5700704,695
696,2000-09-19,26.7310592,696
697,2000-09-20,16.2538432,697
698,2000-09-21,14.101766399999999,698
699,2000-09-22,14.724736,699
700,2000-09-23,17.698,700
701,2000-09-24,16.9617632,701
702,2000-09-25,17.1599808,702
703,2000-09-26,16.3954272,703
704,2000-09-27,15.8857248,704
705,2000-09-28,16.140576,705
706,2000-09-29,15.3760224,706
707,2000-09-30,16.7918624,707
708,2000-10-01,16.7635456,708
709,2000-10-02,17.8962176,709
710,2000-10-03,18.6607712,710
711,2000-10-04,22.3985888,711
712,2000-10-05,23.644528,712
713,2000-10-06,22.511855999999998,713
714,2000-10-07,19.9067104,714
715,2000-10-08,22.5684896,715
716,2000-10-09,21.6057184,716
717,2000-10-10,19.7368096,717
718,2000-10-11,27.4106624,718
719,2000-10-12,24.8338336,719
720,2000-10-13,26.0797728,720
721,2000-10-14,37.1799584,721
722,2000-10-15,29.3645216,722
723,2000-10-16,30.8936288,723
724,2000-10-17,30.6670944,724
725,2000-10-18,23.219776,725
726,2000-10-19,33.555408,726
727,2000-10-20,24.5789824,727
728,2000-10-21,30.9785792,728
729,2000-10-22,20.5863136,729
730,2000-10-23,27.042544,730
731,2000-10-24,29.5344224,731
732,2000-10-25,18.972255999999998,732
733,2000-10-26,21.6906688,733
734,2000-10-27,28.0619488,734
735,2000-10-28,23.814428799999998,735
736,2000-10-29,28.7981856,736
737,2000-10-30,24.5506656,737
738,2000-10-31,20.5863136,738
739,2000-11-01,20.104928,739
740,2000-11-02,25.7966048,740
741,2000-11-03,30.2423424,741
742,2000-11-04,31.7714496,742
743,2000-11-05,25.8532384,743
744,2000-11-06,29.9591744,744
745,2000-11-07,20.3031456,745
746,2000-11-08,37.236592,746
747,2000-11-09,26.4478912,747
748,2000-11-10,27.750464,748
749,2000-11-11,18.1510688,749
750,2000-11-12,23.9560128,750
751,2000-11-13,38.5674816,751
752,2000-11-14,22.3419552,752
753,2000-11-15,27.7221472,753
754,2000-11-16,34.0084768,754
755,2000-11-17,23.8993792,755
756,2000-11-18,20.6146304,756
757,2000-11-19,27.7787808,757
758,2000-11-20,22.3985888,758
759,2000-11-21,16.2255264,759
760,2000-11-22,26.0231392,760
761,2000-11-23,22.1720544,761
762,2000-11-24,25.2585856,762
763,2000-11-25,23.219776,763
764,2000-11-26,25.8815552,764
765,2000-11-27,26.759376,765
766,2000-11-28,29.506105599999998,766
767,2000-11-29,29.591056,767
768,2000-11-30,25.7116544,768
769,2000-12-01,27.0708608,769
770,2000-12-02,28.0619488,770
771,2000-12-03,28.9964032,771
772,2000-12-04,25.3152192,772
773,2000-12-05,24.8904672,773
774,2000-12-06,27.3823456,774
