,sample_dt,mean_air_T(C),avg_wind(m/s),s_pres(kPa),dp_T(C),max_air_T(K),min_air_T(K),evap(m/d)
1973,2022-05-28,20.018518518518515,6.502014397921635,86.10757641229168,7.789351851851851,299.3722222222222,286.9648148148148,0.0077558924305354
1974,2022-05-29,15.092592592592592,6.258266679051019,85.91003652208335,2.685185185185185,291.4833333333333,285.0018518518518,0.0059483649008453
1975,2022-05-30,11.814814814814817,7.115413450895212,86.43413018145836,2.174768518518518,288.2981481481481,281.63148148148144,0.0053455464193201
1976,2022-05-31,13.703703703703708,2.8675673116455704,87.09477676437501,2.5636574074074074,289.7425925925926,283.9648148148148,0.0041012222952157
1977,2022-06-01,16.833333333333332,2.850745298656046,87.18822242895834,3.177083333333333,292.9648148148148,287.00185185185177,0.0046165067919414
1978,2022-06-02,20.46296296296296,2.90377952969162,86.70853486666667,4.971064814814815,297.66851851851845,289.5574074074074,0.005578928641105
1979,2022-06-03,22.40740740740741,3.2170630618288407,86.28904341562502,5.215277777777779,299.70555555555546,291.4092592592592,0.0061290918077548
1980,2022-06-04,23.203703703703702,4.645810375995865,86.28699818750002,6.591435185185185,299.63148148148144,293.0759259259259,0.006721666178906
1981,2022-06-05,20.88888888888889,4.075527627039577,86.52330022354167,8.296296296296296,296.8907407407407,291.187037037037,0.0055024349049935
1982,2022-06-06,20.796296296296298,4.539048041248656,86.77379513854166,4.416666666666667,296.4833333333333,291.4092592592592,0.0060073061736195
1983,2022-06-07,21.33333333333333,4.588652308557363,86.96150009375,2.740740740740741,297.33518518518514,291.63148148148144,0.0064640187576896
1984,2022-06-08,23.203703703703702,4.065394562982825,86.83860933520833,5.236111111111111,299.7796296296296,292.9277777777777,0.0065449770107491
1985,2022-06-09,24.11111111111111,4.317744202998102,86.85191139645835,8.17013888888889,301.261111111111,293.2611111111111,0.0068862546819175
1986,2022-06-10,26.462962962962965,4.0512455821081215,86.81241664791668,10.622685185185183,304.70555555555546,294.5203703703704,0.0074441474652786
1987,2022-06-11,27.740740740740744,3.262273817159708,86.58958706270835,10.001157407407408,304.9277777777777,296.8537037037037,0.006757467197115
1988,2022-06-12,29.277777777777786,6.4995013797583425,85.94120829875,7.987268518518519,307.85370370370373,297.0018518518518,0.0103463359557119
1989,2022-06-13,24.240740740740744,6.146036053316996,86.53095489,4.945601851851852,307.0018518518518,287.7796296296296,0.0103103170521233
1990,2022-06-14,14.98148148148148,6.359540156653059,87.05170132354166,-2.790509259259259,292.15,284.1129629629629,0.0070456791854542
